name	indicator	date	value
NPL	SE.XPD.CPRM.ZS	2018	
NPL	SE.XPD.CPRM.ZS	2017	
NPL	SE.XPD.CPRM.ZS	2016	
NPL	SE.XPD.CPRM.ZS	2015	90.60737
NPL	SE.XPD.CPRM.ZS	2014	88.92631
NPL	SE.XPD.CPRM.ZS	2013	89.56935
NPL	SE.XPD.CPRM.ZS	2012	87.77895
NPL	SE.XPD.CPRM.ZS	2011	86.25406
NPL	SE.XPD.CPRM.ZS	2010	88.0553
NPL	SE.XPD.CPRM.ZS	2009	
PAK	SE.XPD.CPRM.ZS	2018	
PAK	SE.XPD.CPRM.ZS	2017	
PAK	SE.XPD.CPRM.ZS	2016	
PAK	SE.XPD.CPRM.ZS	2015	
PAK	SE.XPD.CPRM.ZS	2014	
PAK	SE.XPD.CPRM.ZS	2013	99.37422
PAK	SE.XPD.CPRM.ZS	2012	
PAK	SE.XPD.CPRM.ZS	2011	
PAK	SE.XPD.CPRM.ZS	2010	
PAK	SE.XPD.CPRM.ZS	2009	
AFG	SE.XPD.CSEC.ZS	2018	
AFG	SE.XPD.CSEC.ZS	2017	89.3641
AFG	SE.XPD.CSEC.ZS	2016	86.9397
AFG	SE.XPD.CSEC.ZS	2015	84.52096
AFG	SE.XPD.CSEC.ZS	2014	83.58745
AFG	SE.XPD.CSEC.ZS	2013	84.10759
AFG	SE.XPD.CSEC.ZS	2012	89.26381
AFG	SE.XPD.CSEC.ZS	2011	84.1094
AFG	SE.XPD.CSEC.ZS	2010	82.66527
AFG	SE.XPD.CSEC.ZS	2009	
BGD	SE.XPD.CSEC.ZS	2018	
BGD	SE.XPD.CSEC.ZS	2017	
BGD	SE.XPD.CSEC.ZS	2016	72.82153
BGD	SE.XPD.CSEC.ZS	2015	
BGD	SE.XPD.CSEC.ZS	2014	
BGD	SE.XPD.CSEC.ZS	2013	
BGD	SE.XPD.CSEC.ZS	2012	98.15917
BGD	SE.XPD.CSEC.ZS	2011	98.2938
BGD	SE.XPD.CSEC.ZS	2010	90.10918
BGD	SE.XPD.CSEC.ZS	2009	90.13548
BTN	SE.XPD.CSEC.ZS	2018	
BTN	SE.XPD.CSEC.ZS	2017	
BTN	SE.XPD.CSEC.ZS	2016	
BTN	SE.XPD.CSEC.ZS	2015	86.33159
BTN	SE.XPD.CSEC.ZS	2014	
BTN	SE.XPD.CSEC.ZS	2013	98.5756
BTN	SE.XPD.CSEC.ZS	2012	
BTN	SE.XPD.CSEC.ZS	2011	
BTN	SE.XPD.CSEC.ZS	2010	
BTN	SE.XPD.CSEC.ZS	2009	
IND	SE.XPD.CSEC.ZS	2018	
IND	SE.XPD.CSEC.ZS	2017	
IND	SE.XPD.CSEC.ZS	2016	
IND	SE.XPD.CSEC.ZS	2015	
IND	SE.XPD.CSEC.ZS	2014	
IND	SE.XPD.CSEC.ZS	2013	
IND	SE.XPD.CSEC.ZS	2012	
IND	SE.XPD.CSEC.ZS	2011	
IND	SE.XPD.CSEC.ZS	2010	
IND	SE.XPD.CSEC.ZS	2009	
LKA	SE.XPD.CSEC.ZS	2018	78.40808
LKA	SE.XPD.CSEC.ZS	2017	80.69354
LKA	SE.XPD.CSEC.ZS	2016	72.99437
LKA	SE.XPD.CSEC.ZS	2015	85.13593
LKA	SE.XPD.CSEC.ZS	2014	84.42939
LKA	SE.XPD.CSEC.ZS	2013	87.16143
LKA	SE.XPD.CSEC.ZS	2012	88.89268
LKA	SE.XPD.CSEC.ZS	2011	92.98175
LKA	SE.XPD.CSEC.ZS	2010	92.09413
LKA	SE.XPD.CSEC.ZS	2009	91.00229
MDV	SE.XPD.CSEC.ZS	2018	
MDV	SE.XPD.CSEC.ZS	2017	
MDV	SE.XPD.CSEC.ZS	2016	99.12021
MDV	SE.XPD.CSEC.ZS	2015	98.95471
MDV	SE.XPD.CSEC.ZS	2014	99.2072
MDV	SE.XPD.CSEC.ZS	2013	99.31137
MDV	SE.XPD.CSEC.ZS	2012	98.6293
MDV	SE.XPD.CSEC.ZS	2011	98.88448
MDV	SE.XPD.CSEC.ZS	2010	98.75216
MDV	SE.XPD.CSEC.ZS	2009	99.71975
NPL	SE.XPD.CSEC.ZS	2018	
NPL	SE.XPD.CSEC.ZS	2017	
NPL	SE.XPD.CSEC.ZS	2016	
NPL	SE.XPD.CSEC.ZS	2015	89.92542
NPL	SE.XPD.CSEC.ZS	2014	87.20754
NPL	SE.XPD.CSEC.ZS	2013	87.64366
NPL	SE.XPD.CSEC.ZS	2012	86.13465
NPL	SE.XPD.CSEC.ZS	2011	86.86797
NPL	SE.XPD.CSEC.ZS	2010	87.72465
NPL	SE.XPD.CSEC.ZS	2009	
PAK	SE.XPD.CSEC.ZS	2018	
PAK	SE.XPD.CSEC.ZS	2017	
PAK	SE.XPD.CSEC.ZS	2016	
PAK	SE.XPD.CSEC.ZS	2015	
PAK	SE.XPD.CSEC.ZS	2014	
PAK	SE.XPD.CSEC.ZS	2013	99.57703
PAK	SE.XPD.CSEC.ZS	2012	
PAK	SE.XPD.CSEC.ZS	2011	
PAK	SE.XPD.CSEC.ZS	2010	
PAK	SE.XPD.CSEC.ZS	2009	
AFG	SE.XPD.CTER.ZS	2018	
AFG	SE.XPD.CTER.ZS	2017	
AFG	SE.XPD.CTER.ZS	2016	
AFG	SE.XPD.CTER.ZS	2015	68.05422
AFG	SE.XPD.CTER.ZS	2014	72.43394
AFG	SE.XPD.CTER.ZS	2013	67.14701
AFG	SE.XPD.CTER.ZS	2012	65.43368
AFG	SE.XPD.CTER.ZS	2011	77.54963
AFG	SE.XPD.CTER.ZS	2010	78.94293
AFG	SE.XPD.CTER.ZS	2009	
BGD	SE.XPD.CTER.ZS	2018	
BGD	SE.XPD.CTER.ZS	2017	
BGD	SE.XPD.CTER.ZS	2016	91.8673
BGD	SE.XPD.CTER.ZS	2015	
BGD	SE.XPD.CTER.ZS	2014	
BGD	SE.XPD.CTER.ZS	2013	
BGD	SE.XPD.CTER.ZS	2012	98.21455
BGD	SE.XPD.CTER.ZS	2011	98.52892
BGD	SE.XPD.CTER.ZS	2010	87.12115
BGD	SE.XPD.CTER.ZS	2009	88.01216
BTN	SE.XPD.CTER.ZS	2018	
BTN	SE.XPD.CTER.ZS	2017	
BTN	SE.XPD.CTER.ZS	2016	
BTN	SE.XPD.CTER.ZS	2015	
BTN	SE.XPD.CTER.ZS	2014	
BTN	SE.XPD.CTER.ZS	2013	
BTN	SE.XPD.CTER.ZS	2012	
BTN	SE.XPD.CTER.ZS	2011	
BTN	SE.XPD.CTER.ZS	2010	
BTN	SE.XPD.CTER.ZS	2009	
IND	SE.XPD.CTER.ZS	2018	
IND	SE.XPD.CTER.ZS	2017	
IND	SE.XPD.CTER.ZS	2016	
IND	SE.XPD.CTER.ZS	2015	
IND	SE.XPD.CTER.ZS	2014	
IND	SE.XPD.CTER.ZS	2013	
IND	SE.XPD.CTER.ZS	2012	
IND	SE.XPD.CTER.ZS	2011	
IND	SE.XPD.CTER.ZS	2010	
IND	SE.XPD.CTER.ZS	2009	
LKA	SE.XPD.CTER.ZS	2018	60.67657
LKA	SE.XPD.CTER.ZS	2017	65.32142
LKA	SE.XPD.CTER.ZS	2016	59.13153
LKA	SE.XPD.CTER.ZS	2015	59.15109
LKA	SE.XPD.CTER.ZS	2014	55.33302
LKA	SE.XPD.CTER.ZS	2013	59.684
LKA	SE.XPD.CTER.ZS	2012	64.22558
LKA	SE.XPD.CTER.ZS	2011	56.92023
LKA	SE.XPD.CTER.ZS	2010	63.60619
LKA	SE.XPD.CTER.ZS	2009	
MDV	SE.XPD.CTER.ZS	2018	
MDV	SE.XPD.CTER.ZS	2017	
MDV	SE.XPD.CTER.ZS	2016	99.95827
MDV	SE.XPD.CTER.ZS	2015	99.83562
MDV	SE.XPD.CTER.ZS	2014	99.87863
MDV	SE.XPD.CTER.ZS	2013	99.84028
MDV	SE.XPD.CTER.ZS	2012	99.68323
MDV	SE.XPD.CTER.ZS	2011	92.94899
MDV	SE.XPD.CTER.ZS	2010	98.08274
MDV	SE.XPD.CTER.ZS	2009	99.67884
NPL	SE.XPD.CTER.ZS	2018	
NPL	SE.XPD.CTER.ZS	2017	
NPL	SE.XPD.CTER.ZS	2016	
NPL	SE.XPD.CTER.ZS	2015	82.38888
NPL	SE.XPD.CTER.ZS	2014	82.35837
NPL	SE.XPD.CTER.ZS	2013	82.42895
NPL	SE.XPD.CTER.ZS	2012	82.43346
NPL	SE.XPD.CTER.ZS	2011	82.37564
NPL	SE.XPD.CTER.ZS	2010	82.36962
NPL	SE.XPD.CTER.ZS	2009	
PAK	SE.XPD.CTER.ZS	2018	
PAK	SE.XPD.CTER.ZS	2017	
PAK	SE.XPD.CTER.ZS	2016	
PAK	SE.XPD.CTER.ZS	2015	
PAK	SE.XPD.CTER.ZS	2014	
PAK	SE.XPD.CTER.ZS	2013	71.52242
PAK	SE.XPD.CTER.ZS	2012	
PAK	SE.XPD.CTER.ZS	2011	
PAK	SE.XPD.CTER.ZS	2010	
PAK	SE.XPD.CTER.ZS	2009	
AFG	SE.XPD.CTOT.ZS	2018	
AFG	SE.XPD.CTOT.ZS	2017	
AFG	SE.XPD.CTOT.ZS	2016	
