region,country,year,event_type,num_events,sum(fatalities)
Southern Asia,Pakistan,2014,Riots,186,53
Southern Asia,Pakistan,2014,Protests,2367,0
Southern Asia,Pakistan,2014,Explosions/Remote violence,723,2826
Southern Asia,Pakistan,2014,Battles,533,1754
Southern Asia,Pakistan,2015,Violence against civilians,301,532
Southern Asia,Pakistan,2015,Strategic developments,70,10
Southern Asia,Pakistan,2015,Riots,226,62
Southern Asia,Pakistan,2015,Protests,3233,9
Southern Asia,Pakistan,2015,Explosions/Remote violence,499,1953
Southern Asia,Pakistan,2015,Battles,569,1951
Southern Asia,Pakistan,2016,Violence against civilians,151,187
Southern Asia,Pakistan,2016,Strategic developments,115,5
Southern Asia,Pakistan,2016,Riots,119,20
Southern Asia,Pakistan,2016,Protests,3343,14
Southern Asia,Pakistan,2016,Explosions/Remote violence,308,804
Southern Asia,Pakistan,2016,Battles,428,1175
Southern Asia,Pakistan,2017,Violence against civilians,113,150
Southern Asia,Pakistan,2017,Strategic developments,52,0
Southern Asia,Pakistan,2017,Riots,138,15
Southern Asia,Pakistan,2017,Protests,3895,15
Southern Asia,Pakistan,2017,Explosions/Remote violence,231,669
Southern Asia,Pakistan,2017,Battles,376,896
Southern Asia,Pakistan,2018,Violence against civilians,321,294
Southern Asia,Pakistan,2018,Strategic developments,98,2
Southern Asia,Pakistan,2018,Riots,448,41
Southern Asia,Pakistan,2018,Protests,5347,1
Southern Asia,Pakistan,2018,Explosions/Remote violence,191,411
Southern Asia,Pakistan,2018,Battles,315,479
Southern Asia,Pakistan,2019,Violence against civilians,320,266
Southern Asia,Pakistan,2019,Strategic developments,151,0
Southern Asia,Pakistan,2019,Riots,348,7
Southern Asia,Pakistan,2019,Protests,4858,1
Southern Asia,Pakistan,2019,Explosions/Remote violence,148,161
Southern Asia,Pakistan,2019,Battles,307,477
Southern Asia,Sri Lanka,2010,Violence against civilians,40,11
Southern Asia,Sri Lanka,2010,Strategic developments,8,0
Southern Asia,Sri Lanka,2010,Riots,116,1
Southern Asia,Sri Lanka,2010,Protests,110,0
Southern Asia,Sri Lanka,2010,Explosions/Remote violence,16,14
Southern Asia,Sri Lanka,2010,Battles,3,2
Southern Asia,Sri Lanka,2011,Violence against civilians,22,7
Southern Asia,Sri Lanka,2011,Strategic developments,3,1
Southern Asia,Sri Lanka,2011,Riots,62,4
Southern Asia,Sri Lanka,2011,Protests,151,1
Southern Asia,Sri Lanka,2011,Explosions/Remote violence,5,2
Southern Asia,Sri Lanka,2011,Battles,12,10
Southern Asia,Sri Lanka,2012,Violence against civilians,18,7
Southern Asia,Sri Lanka,2012,Strategic developments,1,0
Southern Asia,Sri Lanka,2012,Riots,58,29
Southern Asia,Sri Lanka,2012,Protests,154,1
Southern Asia,Sri Lanka,2012,Explosions/Remote violence,13,2
Southern Asia,Sri Lanka,2013,Violence against civilians,50,9
Southern Asia,Sri Lanka,2013,Strategic developments,4,0
Southern Asia,Sri Lanka,2013,Riots,74,4
Southern Asia,Sri Lanka,2013,Protests,146,0
Southern Asia,Sri Lanka,2013,Explosions/Remote violence,3,1
Southern Asia,Sri Lanka,2013,Battles,4,1
Southern Asia,Sri Lanka,2014,Violence against civilians,28,3
Southern Asia,Sri Lanka,2014,Strategic developments,2,0
Southern Asia,Sri Lanka,2014,Riots,19,1
Southern Asia,Sri Lanka,2014,Protests,106,0
Southern Asia,Sri Lanka,2014,Explosions/Remote violence,2,0
Southern Asia,Sri Lanka,2014,Battles,1,3
Southern Asia,Sri Lanka,2015,Violence against civilians,13,3
Southern Asia,Sri Lanka,2015,Strategic developments,1,0
Southern Asia,Sri Lanka,2015,Riots,38,2
Southern Asia,Sri Lanka,2015,Protests,214,1
Southern Asia,Sri Lanka,2015,Explosions/Remote violence,6,2
Southern Asia,Sri Lanka,2015,Battles,7,1
Southern Asia,Sri Lanka,2016,Violence against civilians,5,3
Southern Asia,Sri Lanka,2016,Strategic developments,4,0
Southern Asia,Sri Lanka,2016,Riots,34,1
Southern Asia,Sri Lanka,2016,Protests,391,0
Southern Asia,Sri Lanka,2016,Explosions/Remote violence,1,0
Southern Asia,Sri Lanka,2016,Battles,1,0
Southern Asia,Sri Lanka,2017,Violence against civilians,8,0
Southern Asia,Sri Lanka,2017,Strategic developments,8,0
Southern Asia,Sri Lanka,2017,Riots,32,1
Southern Asia,Sri Lanka,2017,Protests,359,0
Southern Asia,Sri Lanka,2017,Explosions/Remote violence,1,0
Southern Asia,Sri Lanka,2017,Battles,1,1
Southern Asia,Sri Lanka,2018,Violence against civilians,35,11
Southern Asia,Sri Lanka,2018,Strategic developments,27,0
Southern Asia,Sri Lanka,2018,Riots,89,7
Southern Asia,Sri Lanka,2018,Protests,427,0
Southern Asia,Sri Lanka,2018,Explosions/Remote violence,2,2
Southern Asia,Sri Lanka,2018,Battles,8,6
Southern Asia,Sri Lanka,2019,Violence against civilians,40,16
Southern Asia,Sri Lanka,2019,Strategic developments,56,0
Southern Asia,Sri Lanka,2019,Riots,95,8
Southern Asia,Sri Lanka,2019,Protests,546,0
Southern Asia,Sri Lanka,2019,Explosions/Remote violence,13,254
Southern Asia,Sri Lanka,2019,Battles,7,17
